STEMMING,tokenized_sents,polarity_score,polarity
lantik kepala dinas sosial jawa timur restu novi widiani gubernur jawa timur khofifah indar parawansa perintah provinsi jatim fokus kerja upaya turun miskin upaya kuat kolaborasi,"['lantik', 'kepala', 'dinas', 'sosial', 'jawa', 'timur', 'restu', 'novi', 'widiani', 'gubernur', 'jawa', 'timur', 'khofifah', 'indar', 'parawansa', 'perintah', 'provinsi', 'jatim', 'fokus', 'kerja', 'upaya', 'turun', 'miskin', 'upaya', 'kuat', 'kolaborasi']",-6,-1
deret hasil toreh cak fauzi pimpin muda inovatif kreatif cak fauzi hasil turun miskin turun angka miskin tinggi jawa timur https t co fqomaavhnk,"['deret', 'hasil', 'toreh', 'cak', 'fauzi', 'pimpin', 'muda', 'inovatif', 'kreatif', 'cak', 'fauzi', 'hasil', 'turun', 'miskin', 'turun', 'angka', 'miskin', 'tinggi', 'jawa', 'timur', 'https', 't', 'co', 'fqomaavhnk']",-4,-1
dukung cak fauzi maju pilkada jawa timur masif masyarakat sosok achmadfauzi mh layak maju pilkada jatim tokoh muda sumenep cak fauzi sukses pimpin sumenep pimpin cak fauzi hasil turun miskin https t co nqkihsc50v,"['dukung', 'cak', 'fauzi', 'maju', 'pilkada', 'jawa', 'timur', 'masif', 'masyarakat', 'sosok', 'achmadfauzi', 'mh', 'layak', 'maju', 'pilkada', 'jatim', 'tokoh', 'muda', 'sumenep', 'cak', 'fauzi', 'sukses', 'pimpin', 'sumenep', 'pimpin', 'cak', 'fauzi', 'hasil', 'turun', 'miskin', 'https', 't', 'co', 'nqkihsc50v']",-2,-1
puas masyarakat kerja bupati sumenep achmadfauzi wy kerja nyata cak fauzi 1 hasil turun miskin turun angka miskin tinggi jawa timur 2 wujud penganguran rendah jawa timur 3 bawa gin rasio https t co pnhkmapjlz,"['puas', 'masyarakat', 'kerja', 'bupati', 'sumenep', 'achmadfauzi', 'wy', 'kerja', 'nyata', 'cak', 'fauzi', '1', 'hasil', 'turun', 'miskin', 'turun', 'angka', 'miskin', 'tinggi', 'jawa', 'timur', '2', 'wujud', 'penganguran', 'rendah', 'jawa', 'timur', '3', 'bawa', 'gin', 'rasio', 'https', 't', 'co', 'pnhkmapjlz']",-13,-1
makhluk miduk17 manipulasi informasi kait prestasi ganjar kait miskin jateng jawa salah provinsi persentase miskin double digit darat jawa sumber bps miskin https t co 0r2rsy6lwg,"['makhluk', 'miduk17', 'manipulasi', 'informasi', 'kait', 'prestasi', 'ganjar', 'kait', 'miskin', 'jateng', 'jawa', 'salah', 'provinsi', 'persentase', 'miskin', 'double', 'digit', 'darat', 'jawa', 'sumber', 'bps', 'miskin', 'https', 't', 'co', '0r2rsy6lwg']",-15,-1
wahyudi87677017 setyosby miduk17 basuki btp ganjar parah mas jawa jalan remuk banjir dimana2 miskin semarang yang ibukota saja parah jalan tidak yang mulus bisa tambal sulam kali banjir kanal timur ilang darat gara2 sedimentasi parah,"['wahyudi87677017', 'setyosby', 'miduk17', 'basuki', 'btp', 'ganjar', 'parah', 'mas', 'jawa', 'jalan', 'remuk', 'banjir', 'dimana2', 'miskin', 'semarang', 'yang', 'ibukota', 'saja', 'parah', 'jalan', 'tidak', 'yang', 'mulus', 'bisa', 'tambal', 'sulam', 'kali', 'banjir', 'kanal', 'timur', 'ilang', 'darat', 'gara2', 'sedimentasi', 'parah']",-48,-1
cak fauzi pimpin muda ide inovasi maju daerah sumenep cak fauzi pikir sejahtera madura cak fauzi hasil turun miskin turun angka miskin tinggi jawa timur https t co nvorhtzbxs,"['cak', 'fauzi', 'pimpin', 'muda', 'ide', 'inovasi', 'maju', 'daerah', 'sumenep', 'cak', 'fauzi', 'pikir', 'sejahtera', 'madura', 'cak', 'fauzi', 'hasil', 'turun', 'miskin', 'turun', 'angka', 'miskin', 'tinggi', 'jawa', 'timur', 'https', 't', 'co', 'nvorhtzbxs']",-9,-1
ch chotimah2 munir timur ganjarpranowo muka kamu dimaneeeeee jawa landa miskin pukuk langka harge sembako naik hantam banjir skarang hantam kering sulit air bersih sok urusen dki jakarta otak mana otak masyarakat jawa senang sama klakuan kamu,"['ch', 'chotimah2', 'munir', 'timur', 'ganjarpranowo', 'muka', 'kamu', 'dimaneeeeee', 'jawa', 'landa', 'miskin', 'pukuk', 'langka', 'harge', 'sembako', 'naik', 'hantam', 'banjir', 'skarang', 'hantam', 'kering', 'sulit', 'air', 'bersih', 'sok', 'urusen', 'dki', 'jakarta', 'otak', 'mana', 'otak', 'masyarakat', 'jawa', 'senang', 'sama', 'klakuan', 'kamu']",-19,-1
gubernur jatim khofifah target zero miskin ekstrem tuntas gubernur jawa timur khofifah indar parawansa target nol zero miskin ekstrem wilayah politikpemerintahan jatim jawatimur via beritajatimcom https t co dvdqpco3bt,"['gubernur', 'jatim', 'khofifah', 'target', 'zero', 'miskin', 'ekstrem', 'tuntas', 'gubernur', 'jawa', 'timur', 'khofifah', 'indar', 'parawansa', 'target', 'nol', 'zero', 'miskin', 'ekstrem', 'wilayah', 'politikpemerintahan', 'jatim', 'jawatimur', 'via', 'beritajatimcom', 'https', 't', 'co', 'dvdqpco3bt']",-25,-1
gubernur jawa timur optimis capai zero miskin ekstrem 2023 https t co olofu5gs9q,"['gubernur', 'jawa', 'timur', 'optimis', 'capai', 'zero', 'miskin', 'ekstrem', '2023', 'https', 't', 'co', 'olofu5gs9q']",-13,-1
wakil bupati malang drs h didik gatot subroto s h m h damping kunjung kerja gubernur jawa timur dra hj khofifah indar parawansa m sos rangka salur bansos miskin ekstrem pkh plus tempat kantor camat gondanglegi selasa 27 6 siang https t co q4geiof6ek,"['wakil', 'bupati', 'malang', 'drs', 'h', 'didik', 'gatot', 'subroto', 's', 'h', 'm', 'h', 'damping', 'kunjung', 'kerja', 'gubernur', 'jawa', 'timur', 'dra', 'hj', 'khofifah', 'indar', 'parawansa', 'm', 'sos', 'rangka', 'salur', 'bansos', 'miskin', 'ekstrem', 'pkh', 'plus', 'tempat', 'kantor', 'camat', 'gondanglegi', 'selasa', '27', '6', 'siang', 'https', 't', 'co', 'q4geiof6ek']",-14,-1
cak fauzi hasil turun miskin turun angka miskin tinggi jawa timur wujud penganguran rendah jawa timur bawa gin rasio timpang rendah jawa timur https t co vskmzizhyl,"['cak', 'fauzi', 'hasil', 'turun', 'miskin', 'turun', 'angka', 'miskin', 'tinggi', 'jawa', 'timur', 'wujud', 'penganguran', 'rendah', 'jawa', 'timur', 'bawa', 'gin', 'rasio', 'timpang', 'rendah', 'jawa', 'timur', 'https', 't', 'co', 'vskmzizhyl']",-27,-1
parah wilayah jawa jawa timur bangkit komunisme kecuali kurang miskin jenderal soeharto menggarisbawahi skema tekan populasi duduk tingkat dapat ekspor,"['parah', 'wilayah', 'jawa', 'jawa', 'timur', 'bangkit', 'komunisme', 'kecuali', 'kurang', 'miskin', 'jenderal', 'soeharto', 'menggarisbawahi', 'skema', 'tekan', 'populasi', 'duduk', 'tingkat', 'dapat', 'ekspor']",-16,-1
hasil cak fauzi toreh hasil turun miskin turun angka miskin tinggi jawa timur cak fauzi wujud anggur rendah jawa timur dukung cak fauzi jatim 1 https t co o6liftfzpx,"['hasil', 'cak', 'fauzi', 'toreh', 'hasil', 'turun', 'miskin', 'turun', 'angka', 'miskin', 'tinggi', 'jawa', 'timur', 'cak', 'fauzi', 'wujud', 'anggur', 'rendah', 'jawa', 'timur', 'dukung', 'cak', 'fauzi', 'jatim', '1', 'https', 't', 'co', 'o6liftfzpx']",-9,-1
jazz turbok24 m14fatih ch chotimah2 munir timur ganjarpranowo eh peak coba lihat grafik miskin propinsi pulau jawa propinsi tingkat miskin yv turun,"['jazz', 'turbok24', 'm14fatih', 'ch', 'chotimah2', 'munir', 'timur', 'ganjarpranowo', 'eh', 'peak', 'coba', 'lihat', 'grafik', 'miskin', 'propinsi', 'pulau', 'jawa', 'propinsi', 'tingkat', 'miskin', 'yv', 'turun']",-7,-1
ch chotimah2 munir timur ganjarpranowo jakarta yang miskin datang daerah jawa jawa duduk asli yang hidup garis miskin,"['ch', 'chotimah2', 'munir', 'timur', 'ganjarpranowo', 'jakarta', 'yang', 'miskin', 'datang', 'daerah', 'jawa', 'jawa', 'duduk', 'asli', 'yang', 'hidup', 'garis', 'miskin']",-27,-1
itsme dul tsamaradki based on data tingkat miskin jawa timur jawa barat jawa kalau mau komen emosi kamu baca baik tweet saya jancuk kamu buta ya upaya yang sudah amp pemprov jateng kamu kudet https t co lthagilzt6,"['itsme', 'dul', 'tsamaradki', 'based', 'on', 'data', 'tingkat', 'miskin', 'jawa', 'timur', 'jawa', 'barat', 'jawa', 'kalau', 'mau', 'komen', 'emosi', 'kamu', 'baca', 'baik', 'tweet', 'saya', 'jancuk', 'kamu', 'buta', 'ya', 'upaya', 'yang', 'sudah', 'amp', 'pemprov', 'jateng', 'kamu', 'kudet', 'https', 't', 'co', 'lthagilzt6']",-14,-1
mas ch chotimah2 contoh buzzer defisit kognitif data indeks dalam amp parah miskin jateng provinsi darat jawa tidak bedain padahal sudah jelas no 2 ganjar fokus saja urus miskin jateng jangan sok rabas urus jakarta https t co lunop6epvn,"['mas', 'ch', 'chotimah2', 'contoh', 'buzzer', 'defisit', 'kognitif', 'data', 'indeks', 'dalam', 'amp', 'parah', 'miskin', 'jateng', 'provinsi', 'darat', 'jawa', 'tidak', 'bedain', 'padahal', 'sudah', 'jelas', 'no', '2', 'ganjar', 'fokus', 'saja', 'urus', 'miskin', 'jateng', 'jangan', 'sok', 'rabas', 'urus', 'jakarta', 'https', 't', 'co', 'lunop6epvn']",-29,-1
3 mas ch chotimah2 indeks parah miskin jateng sept 2022 turun provinsi darat jawa https t co pej1sujq8u,"['3', 'mas', 'ch', 'chotimah2', 'indeks', 'parah', 'miskin', 'jateng', 'sept', '2022', 'turun', 'provinsi', 'darat', 'jawa', 'https', 't', 'co', 'pej1sujq8u']",-14,-1
1 mas ch chotimah2 ganjar fokus urus jateng data bps sept 2022 turun angka dalam miskin jateng provinsi darat jawa https t co bqbw2x5ad7,"['1', 'mas', 'ch', 'chotimah2', 'ganjar', 'fokus', 'urus', 'jateng', 'data', 'bps', 'sept', '2022', 'turun', 'angka', 'dalam', 'miskin', 'jateng', 'provinsi', 'darat', 'jawa', 'https', 't', 'co', 'bqbw2x5ad7']",-6,-1
ridwan kamil padalarang bupati sumenep hasil turun miskin turun angka miskin tinggi jawa timur strategi khusus hadap long weekend idul adha https t co bnbikduggd,"['ridwan', 'kamil', 'padalarang', 'bupati', 'sumenep', 'hasil', 'turun', 'miskin', 'turun', 'angka', 'miskin', 'tinggi', 'jawa', 'timur', 'strategi', 'khusus', 'hadap', 'long', 'weekend', 'idul', 'adha', 'https', 't', 'co', 'bnbikduggd']",-7,-1
2 cak fauzi hasil turun miskin turun angka miskin tinggi jawa timur 3 wujud anggur rendah jawa timur 4 bawa gin rasio rendah jawa timur 5 naik ipm 6 naik tumbuh ekonomi,"['2', 'cak', 'fauzi', 'hasil', 'turun', 'miskin', 'turun', 'angka', 'miskin', 'tinggi', 'jawa', 'timur', '3', 'wujud', 'anggur', 'rendah', 'jawa', 'timur', '4', 'bawa', 'gin', 'rasio', 'rendah', 'jawa', 'timur', '5', 'naik', 'ipm', '6', 'naik', 'tumbuh', 'ekonomi']",-25,-1
bawah pimpin cak fauzi sumenep alami 1 turun miskin turun angka miskin tinggi jawa timur 2 wujud penganguran rendah jawa timur 3 bawa gin rasio timpang rendah jawa timur 4 naik https t co 6vqip9rq6b,"['bawah', 'pimpin', 'cak', 'fauzi', 'sumenep', 'alami', '1', 'turun', 'miskin', 'turun', 'angka', 'miskin', 'tinggi', 'jawa', 'timur', '2', 'wujud', 'penganguran', 'rendah', 'jawa', 'timur', '3', 'bawa', 'gin', 'rasio', 'timpang', 'rendah', 'jawa', 'timur', '4', 'naik', 'https', 't', 'co', '6vqip9rq6b']",-32,-1
mou unej sektor tani didik sehat salah keren bupati sumenep achmadfauzi wy heran cak fauzi hasil turun miskin turun angka miskin tinggi jawa timur,"['mou', 'unej', 'sektor', 'tani', 'didik', 'sehat', 'salah', 'keren', 'bupati', 'sumenep', 'achmadfauzi', 'wy', 'heran', 'cak', 'fauzi', 'hasil', 'turun', 'miskin', 'turun', 'angka', 'miskin', 'tinggi', 'jawa', 'timur']",-10,-1
untung sumenep pimpin pimpin muda yang inovatif achmadfauzi wy kiprah luas pimpin jawa timur dukung masyarakat alir sosok yang turun angka miskin sumenep gaskeun https t co uexopjfctx,"['untung', 'sumenep', 'pimpin', 'pimpin', 'muda', 'yang', 'inovatif', 'achmadfauzi', 'wy', 'kiprah', 'luas', 'pimpin', 'jawa', 'timur', 'dukung', 'masyarakat', 'alir', 'sosok', 'yang', 'turun', 'angka', 'miskin', 'sumenep', 'gaskeun', 'https', 't', 'co', 'uexopjfctx']",-7,-1
cak fauzi wujud penganguran rendah amp hasil turun miskin turun angka miskin tinggi jawa timur https t co hwtvxyitjz,"['cak', 'fauzi', 'wujud', 'penganguran', 'rendah', 'amp', 'hasil', 'turun', 'miskin', 'turun', 'angka', 'miskin', 'tinggi', 'jawa', 'timur', 'https', 't', 'co', 'hwtvxyitjz']",-13,-1
program eko tren opop jawa timur hasil kurang angka anggur miskin tingkat sejahtera masyarakat provinsi jawa timur khofifahip emildardak kemkominfo kempanrb https t co n7c7vypwgt,"['program', 'eko', 'tren', 'opop', 'jawa', 'timur', 'hasil', 'kurang', 'angka', 'anggur', 'miskin', 'tingkat', 'sejahtera', 'masyarakat', 'provinsi', 'jawa', 'timur', 'khofifahip', 'emildardak', 'kemkominfo', 'kempanrb', 'https', 't', 'co', 'n7c7vypwgt']",-10,-1
butuh bupati sumenep achmadfauzi wy hasil turun miskin turun miskin tinggi jawa timur anggur rendah jawa timur rasio timpang sosial rendah jawa timur naik indeks bangun https t co k5udlu8zcp,"['butuh', 'bupati', 'sumenep', 'achmadfauzi', 'wy', 'hasil', 'turun', 'miskin', 'turun', 'miskin', 'tinggi', 'jawa', 'timur', 'anggur', 'rendah', 'jawa', 'timur', 'rasio', 'timpang', 'sosial', 'rendah', 'jawa', 'timur', 'naik', 'indeks', 'bangun', 'https', 't', 'co', 'k5udlu8zcp']",-31,-1
tokoh muda achmadfauzi mh nilai layak kelas kepala daerah provinsi pimpin sumenep cak fauzi hasil turun miskin turun angka miskin tinggi jawa timur dorong kalang deklarasi https t co efrxl2fpnh,"['tokoh', 'muda', 'achmadfauzi', 'mh', 'nilai', 'layak', 'kelas', 'kepala', 'daerah', 'provinsi', 'pimpin', 'sumenep', 'cak', 'fauzi', 'hasil', 'turun', 'miskin', 'turun', 'angka', 'miskin', 'tinggi', 'jawa', 'timur', 'dorong', 'kalang', 'deklarasi', 'https', 't', 'co', 'efrxl2fpnh']",-12,-1
salah hasil cak fauzi hasil turun miskin turun angka miskin tinggi jawa timur https t co zmllcgmxut,"['salah', 'hasil', 'cak', 'fauzi', 'hasil', 'turun', 'miskin', 'turun', 'angka', 'miskin', 'tinggi', 'jawa', 'timur', 'https', 't', 'co', 'zmllcgmxut']",-11,-1
geiszchalifah didik jembatan jurang miskin moga allah mudah rezeki berkah geiz jawa timur ekspansi,"['geiszchalifah', 'didik', 'jembatan', 'jurang', 'miskin', 'moga', 'allah', 'mudah', 'rezeki', 'berkah', 'geiz', 'jawa', 'timur', 'ekspansi']",7,1
ide kreatif bupati kampung cak fauzi hasil turun miskin turun angka miskin tinggi jawa timur sudah layak pimpin jatim,"['ide', 'kreatif', 'bupati', 'kampung', 'cak', 'fauzi', 'hasil', 'turun', 'miskin', 'turun', 'angka', 'miskin', 'tinggi', 'jawa', 'timur', 'sudah', 'layak', 'pimpin', 'jatim']",-7,-1
negeri butuh pimpin inovatif kreatif bupati sumenep milik ide inovasi maju daerah sumenep cak fauzi pikir sejahtera madura turun angka miskin tinggi jawa timur https t co qctlvh5ezw,"['negeri', 'butuh', 'pimpin', 'inovatif', 'kreatif', 'bupati', 'sumenep', 'milik', 'ide', 'inovasi', 'maju', 'daerah', 'sumenep', 'cak', 'fauzi', 'pikir', 'sejahtera', 'madura', 'turun', 'angka', 'miskin', 'tinggi', 'jawa', 'timur', 'https', 't', 'co', 'qctlvh5ezw']",-3,-1
sumenep sejahtera madura 2 hasil turun miskin turun angka miskin tinggi jawa timur 3 wujud penganguran rendah jawa timur 4 bawa gin rasio timpang rendah jawa timur https t co t0sdwv8tyu,"['sumenep', 'sejahtera', 'madura', '2', 'hasil', 'turun', 'miskin', 'turun', 'angka', 'miskin', 'tinggi', 'jawa', 'timur', '3', 'wujud', 'penganguran', 'rendah', 'jawa', 'timur', '4', 'bawa', 'gin', 'rasio', 'timpang', 'rendah', 'jawa', 'timur', 'https', 't', 'co', 't0sdwv8tyu']",-27,-1
cak fauzi hasil turun miskin turun jawa timur wujud penganguran rendah jawa timur bawa gin rasio timpang rendah jawa timur naik indeks bangun manusia ipm https t co mp7cpcynal,"['cak', 'fauzi', 'hasil', 'turun', 'miskin', 'turun', 'jawa', 'timur', 'wujud', 'penganguran', 'rendah', 'jawa', 'timur', 'bawa', 'gin', 'rasio', 'timpang', 'rendah', 'jawa', 'timur', 'naik', 'indeks', 'bangun', 'manusia', 'ipm', 'https', 't', 'co', 'mp7cpcynal']",-19,-1
1 cak fauzi pimpin muda inovatif kreatif 2 cak fauzi hasil turun angka miskin turun angka miskin tinggi jawa timur 3 wujud anggur rendah jawa timur https t co zkmsbfbifk,"['1', 'cak', 'fauzi', 'pimpin', 'muda', 'inovatif', 'kreatif', '2', 'cak', 'fauzi', 'hasil', 'turun', 'angka', 'miskin', 'turun', 'angka', 'miskin', 'tinggi', 'jawa', 'timur', '3', 'wujud', 'anggur', 'rendah', 'jawa', 'timur', 'https', 't', 'co', 'zkmsbfbifk']",-15,-1
achmadfauzi wy putera baik madura layak calon gubernur jawa timur beliau sosok keras bukti cak fauzi hasil turun miskin turun angka miskin tinggi jawa timur lho https t co jp562tn8fh,"['achmadfauzi', 'wy', 'putera', 'baik', 'madura', 'layak', 'calon', 'gubernur', 'jawa', 'timur', 'beliau', 'sosok', 'keras', 'bukti', 'cak', 'fauzi', 'hasil', 'turun', 'miskin', 'turun', 'angka', 'miskin', 'tinggi', 'jawa', 'timur', 'lho', 'https', 't', 'co', 'jp562tn8fh']",-13,-1
rekam jejak hasil bupati yang juang masyarakat cak fauzi hasil turun miskin turun angka miskin tinggi jawa timur beliau wujud anggur rendah jawa timur hasil bawa https t co oecenwwluv,"['rekam', 'jejak', 'hasil', 'bupati', 'yang', 'juang', 'masyarakat', 'cak', 'fauzi', 'hasil', 'turun', 'miskin', 'turun', 'angka', 'miskin', 'tinggi', 'jawa', 'timur', 'beliau', 'wujud', 'anggur', 'rendah', 'jawa', 'timur', 'hasil', 'bawa', 'https', 't', 'co', 'oecenwwluv']",-19,-1
bps lansir duduk miskin kab amp kota jawa timur hasil 3 wilayah atas asal pulau madura sampang bangkal sumenep daerah kota milik persentase miskin 3 79 7 37 grafisdatajtv https t co wpshfrey2s,"['bps', 'lansir', 'duduk', 'miskin', 'kab', 'amp', 'kota', 'jawa', 'timur', 'hasil', '3', 'wilayah', 'atas', 'asal', 'pulau', 'madura', 'sampang', 'bangkal', 'sumenep', 'daerah', 'kota', 'milik', 'persentase', 'miskin', '3', '79', '7', '37', 'grafisdatajtv', 'https', 't', 'co', 'wpshfrey2s']",-12,-1
wilayah banyuwangi masuk miskin ekstrem banyuwangi rangka tekan angka miskin ekstrem kabupaten ujung timur pulau jawa bupati banyuwangi ipuk fiestiandani azwar anas gelontor program program https t co rmm2zd7i2o,"['wilayah', 'banyuwangi', 'masuk', 'miskin', 'ekstrem', 'banyuwangi', 'rangka', 'tekan', 'angka', 'miskin', 'ekstrem', 'kabupaten', 'ujung', 'timur', 'pulau', 'jawa', 'bupati', 'banyuwangi', 'ipuk', 'fiestiandani', 'azwar', 'anas', 'gelontor', 'program', 'program', 'https', 't', 'co', 'rmm2zd7i2o']",-23,-1
jogja istimewa tingkat miskin jawa dasar provinsi diy 11 49 persen jawa 10 98 persen jawa timur 10 49 jawa barat 7 98 banten 6 24 persen dki jakarta 4 61 persen,"['jogja', 'istimewa', 'tingkat', 'miskin', 'jawa', 'dasar', 'provinsi', 'diy', '11', '49', 'persen', 'jawa', '10', '98', 'persen', 'jawa', 'timur', '10', '49', 'jawa', 'barat', '7', '98', 'banten', '6', '24', 'persen', 'dki', 'jakarta', '4', '61', 'persen']",4,1
1996 2022 turun angka miskin tinggi jawa 2002 era gubernur murdiyanto non partai militer turun miskin 16 5 miskin 1999 8 7 juta jiwa ubah angka miskin https t co e14xu54vr8,"['1996', '2022', 'turun', 'angka', 'miskin', 'tinggi', 'jawa', '2002', 'era', 'gubernur', 'murdiyanto', 'non', 'partai', 'militer', 'turun', 'miskin', '16', '5', 'miskin', '1999', '8', '7', 'juta', 'jiwa', 'ubah', 'angka', 'miskin', 'https', 't', 'co', 'e14xu54vr8']",-21,-1
abdulrachimmks sprtnya angka miskin ekstrem jateng yang 620 ribu lebih seksi daripada 941 ribu jawa barat 1 747 jt jawa timur,"['abdulrachimmks', 'sprtnya', 'angka', 'miskin', 'ekstrem', 'jateng', 'yang', '620', 'ribu', 'lebih', 'seksi', 'daripada', '941', 'ribu', 'jawa', 'barat', '1', '747', 'jt', 'jawa', 'timur']",-16,-1
turun miskin jawa faktor baik ekonomi dominan sunti bantu sosial realisasi sbb tahun 2021 dki rp 531 milyar jateng rp 8 822 milyar tahun 2022 dki rp 528 milyar jateng rp 7 477 milyar cc munir timur reiza patters https t co 6wg8b4g9wa,"['turun', 'miskin', 'jawa', 'faktor', 'baik', 'ekonomi', 'dominan', 'sunti', 'bantu', 'sosial', 'realisasi', 'sbb', 'tahun', '2021', 'dki', 'rp', '531', 'milyar', 'jateng', 'rp', '8', '822', 'milyar', 'tahun', '2022', 'dki', 'rp', '528', 'milyar', 'jateng', 'rp', '7', '477', 'milyar', 'cc', 'munir', 'timur', 'reiza', 'patters', 'https', 't', 'co', '6wg8b4g9wa']",-8,-1
vivacoid janji saja pa calon presiden hasil tidak lihat lagi jawa timur saja jadi daerah miskin berantas miskin indonesia,"['vivacoid', 'janji', 'saja', 'pa', 'calon', 'presiden', 'hasil', 'tidak', 'lihat', 'lagi', 'jawa', 'timur', 'saja', 'jadi', 'daerah', 'miskin', 'berantas', 'miskin', 'indonesia']",-21,-1
vivacoid jawa timur saja miskin parah bicara pa eek ganjar,"['vivacoid', 'jawa', 'timur', 'saja', 'miskin', 'parah', 'bicara', 'pa', 'eek', 'ganjar']",-21,-1
bambangmulyonoo realprincetotty saya orang jawa barat tidak jawa barat sukses entas miskin warga jawa jawa timur lihat buanyak warga miskin jawa barat survey abal 2 tanggap berita kadal gurun benar,"['bambangmulyonoo', 'realprincetotty', 'saya', 'orang', 'jawa', 'barat', 'tidak', 'jawa', 'barat', 'sukses', 'entas', 'miskin', 'warga', 'jawa', 'jawa', 'timur', 'lihat', 'buanyak', 'warga', 'miskin', 'jawa', 'barat', 'survey', 'abal', '2', 'tanggap', 'berita', 'kadal', 'gurun', 'benar']",-18,-1
enam provinsi pulau jawa catat angka miskin provinsi jawa 9 5 10 jawa timur 8 5 8 90 daerah istimewa yogyakarta diy 10 85 11 2 korea gigi fullvideo giselle https t co wek4qyuhyd,"['enam', 'provinsi', 'pulau', 'jawa', 'catat', 'angka', 'miskin', 'provinsi', 'jawa', '9', '5', '10', 'jawa', 'timur', '8', '5', '8', '90', 'daerah', 'istimewa', 'yogyakarta', 'diy', '10', '85', '11', '2', 'korea', 'gigi', 'fullvideo', 'giselle', 'https', 't', 'co', 'wek4qyuhyd']",-5,-1
manusia serang jawa miskin elektoral capres yang dukung miskin jawa timur jawa barat https t co wq82cf6ivx,"['manusia', 'serang', 'jawa', 'miskin', 'elektoral', 'capres', 'yang', 'dukung', 'miskin', 'jawa', 'timur', 'jawa', 'barat', 'https', 't', 'co', 'wq82cf6ivx']",-12,-1
cinnamongirlc onok konco bicara jarene jawa timur wes bebas miskin tapi ambek lontang lantung nang jakarta cekel duek 500ewu,"['cinnamongirlc', 'onok', 'konco', 'bicara', 'jarene', 'jawa', 'timur', 'wes', 'bebas', 'miskin', 'tapi', 'ambek', 'lontang', 'lantung', 'nang', 'jakarta', 'cekel', 'duek', '500ewu']",-9,-1
tidak sesumbar indonesia deh berantas miskin ekstrem jawa basis elektoral pdip https t co 57kairr68c,"['tidak', 'sesumbar', 'indonesia', 'deh', 'berantas', 'miskin', 'ekstrem', 'jawa', 'basis', 'elektoral', 'pdip', 'https', 't', 'co', '57kairr68c']",-14,-1
oposisicerdas data miskin jawa jateng baik badan pusat statistik bps provinsi dengan duduk miskin ri tahun 2022 jawa timur 4 236 510 jiwa jawa barat 4 053 620 jiwa jawa 3 858 230 jiwa,"['oposisicerdas', 'data', 'miskin', 'jawa', 'jateng', 'baik', 'badan', 'pusat', 'statistik', 'bps', 'provinsi', 'dengan', 'duduk', 'miskin', 'ri', 'tahun', '2022', 'jawa', 'timur', '4', '236', '510', 'jiwa', 'jawa', 'barat', '4', '053', '620', 'jiwa', 'jawa', '3', '858', '230', 'jiwa']",-10,-1
doktertifa aniesbaswedan miskin rang didik dasar data jawa 256 guru jawa timur total 338 guru jawa barat guru tinggi 392 ayo ganjar lari lari,"['doktertifa', 'aniesbaswedan', 'miskin', 'rang', 'didik', 'dasar', 'data', 'jawa', '256', 'guru', 'jawa', 'timur', 'total', '338', 'guru', 'jawa', 'barat', 'guru', 'tinggi', '392', 'ayo', 'ganjar', 'lari', 'lari']",1,1
munir timur miduk17 ganjar jabat gubernur jawa tahun 2013 2023 idm jateng tahun 2016 0 6292 status kembang idm jateng tahun 2022 0 7119 status maju p ganjar tingkat status idm dari kembang maju bagaimana tingkat miskin jakarta anies jabat https t co xg5a719cww,"['munir', 'timur', 'miduk17', 'ganjar', 'jabat', 'gubernur', 'jawa', 'tahun', '2013', '2023', 'idm', 'jateng', 'tahun', '2016', '0', '6292', 'status', 'kembang', 'idm', 'jateng', 'tahun', '2022', '0', '7119', 'status', 'maju', 'p', 'ganjar', 'tingkat', 'status', 'idm', 'dari', 'kembang', 'maju', 'bagaimana', 'tingkat', 'miskin', 'jakarta', 'anies', 'jabat', 'https', 't', 'co', 'xg5a719cww']",-2,-1
munir timur miduk17 untuk nilai pimpin tidak salah satu banding prestasi beberapa tahun jabat coba banding tingkat keminskinan jakarta amp jawa tahun 2017 2022 yang lebih hasil kurang miskin saya tidak berani,"['munir', 'timur', 'miduk17', 'untuk', 'nilai', 'pimpin', 'tidak', 'salah', 'satu', 'banding', 'prestasi', 'beberapa', 'tahun', 'jabat', 'coba', 'banding', 'tingkat', 'keminskinan', 'jakarta', 'amp', 'jawa', 'tahun', '2017', '2022', 'yang', 'lebih', 'hasil', 'kurang', 'miskin', 'saya', 'tidak', 'berani']",-20,-1
hasil survei baru lsi denny ja masyarakat ragu mampu ganjar pranowo calon presiden pdip kelola ekonomi nasional sebab angka miskin provinsi jawa timur jatim nilai ganjar,"['hasil', 'survei', 'baru', 'lsi', 'denny', 'ja', 'masyarakat', 'ragu', 'mampu', 'ganjar', 'pranowo', 'calon', 'presiden', 'pdip', 'kelola', 'ekonomi', 'nasional', 'sebab', 'angka', 'miskin', 'provinsi', 'jawa', 'timur', 'jatim', 'nilai', 'ganjar']",6,1
