STEMMING,tokenized_sents,polarity_score,polarity
suami istri cerai cba pikirin anak2nya cuma karena ego digedein anak2 yang bingung ibu pisah tidak tahu enak kali ya lihat bgtuan,"['suami', 'istri', 'cerai', 'cba', 'pikirin', 'anak2nya', 'cuma', 'karena', 'ego', 'digedein', 'anak2', 'yang', 'bingung', 'ibu', 'pisah', 'tidak', 'tahu', 'enak', 'kali', 'ya', 'lihat', 'bgtuan']",-22,-1
saya posisi bagai anak ini ya n nngeliat orangtua ribut saya sd sampai lulus smp ngeliat kdrt dalam rumah benar cerai saya lega tapi sayang trauma saya ngeliat orangtua ribut tidak bisa ilang n ntau begitu dari saja cerai nya,"['saya', 'posisi', 'bagai', 'anak', 'ini', 'ya', 'n', 'nngeliat', 'orangtua', 'ribut', 'saya', 'sd', 'sampai', 'lulus', 'smp', 'ngeliat', 'kdrt', 'dalam', 'rumah', 'benar', 'cerai', 'saya', 'lega', 'tapi', 'sayang', 'trauma', 'saya', 'ngeliat', 'orangtua', 'ribut', 'tidak', 'bisa', 'ilang', 'n', 'ntau', 'begitu', 'dari', 'saja', 'cerai', 'nya']",-33,-1
loh si a selingkuh kdrt tapi agama bagus 0 n nye kalau selingkuh kdrt belum bagus berat agama mas yang,"['loh', 'si', 'a', 'selingkuh', 'kdrt', 'tapi', 'agama', 'bagus', '0', 'n', 'nye', 'kalau', 'selingkuh', 'kdrt', 'belum', 'bagus', 'berat', 'agama', 'mas', 'yang']",-26,-1
convomf dapat yang tukang kdrt,"['convomf', 'dapat', 'yang', 'tukang', 'kdrt']",-7,-1
role model this role model that role model nikah saya keluarga karyawan kantor ft rumah tangga 2 orang anak hewan pelihara tinggal rumah yang nyicil kpr 32 https t co 20vwqqic34,"['role', 'model', 'this', 'role', 'model', 'that', 'role', 'model', 'nikah', 'saya', 'keluarga', 'karyawan', 'kantor', 'ft', 'rumah', 'tangga', '2', 'orang', 'anak', 'hewan', 'pelihara', 'tinggal', 'rumah', 'yang', 'nyicil', 'kpr', '32', 'https', 't', 'co', '20vwqqic34']",5,1
maksutnya kudu pada mikir sblum nikah konsef nya dipahamin tidak ketaker tidak kudu dealing sama orang psngn antum cuma kalau kdrt sama cerai beda cerita sbnernya juga tuh stad bagaimana tidak selingkuh tidak kdrt,"['maksutnya', 'kudu', 'pada', 'mikir', 'sblum', 'nikah', 'konsef', 'nya', 'dipahamin', 'tidak', 'ketaker', 'tidak', 'kudu', 'dealing', 'sama', 'orang', 'psngn', 'antum', 'cuma', 'kalau', 'kdrt', 'sama', 'cerai', 'beda', 'cerita', 'sbnernya', 'juga', 'tuh', 'stad', 'bagaimana', 'tidak', 'selingkuh', 'tidak', 'kdrt']",-36,-1
7 film juang korban kdrt emosional https t co krpvxhgq1a,"['7', 'film', 'juang', 'korban', 'kdrt', 'emosional', 'https', 't', 'co', 'krpvxhgq1a']",-4,-1
jskelovebot miyaaa092000 kdrt,"['jskelovebot', 'miyaaa092000', 'kdrt']",0,1
,[],0,1
saya syukur mak cerai anjret hindar potensi kdrt sudah lihat,"['saya', 'syukur', 'mak', 'cerai', 'anjret', 'hindar', 'potensi', 'kdrt', 'sudah', 'lihat']",5,1
lailama08717177 detikcom budaya patriark definisi nikah adlah budak yang legal mwlihat hidup nikah teman2 kerabat nbahkan anak laki2 anggap istimewa anak perempuan kerja rumah nkalau kdrt istri speak up,"['lailama08717177', 'detikcom', 'budaya', 'patriark', 'definisi', 'nikah', 'adlah', 'budak', 'yang', 'legal', 'mwlihat', 'hidup', 'nikah', 'teman2', 'kerabat', 'nbahkan', 'anak', 'laki2', 'anggap', 'istimewa', 'anak', 'perempuan', 'kerja', 'rumah', 'nkalau', 'kdrt', 'istri', 'speak', 'up']",-2,-1
ndrewstjan iin07 pinjam ya kata2 status saya https t co ptnyzku4qh,"['ndrewstjan', 'iin07', 'pinjam', 'ya', 'kata2', 'status', 'saya', 'https', 't', 'co', 'ptnyzku4qh']",-3,-1
deanas93 kalau ego luka cenderung jadi abusive kasar ujung2nya kdrt yang parah yaa siksa sampai bunuh n nkbnykan laki indonesia sudah fatherless patriark dik laki tidak boleh nang tidak boleh cengeng tidak gagal tidak alami tolak dan lain,"['deanas93', 'kalau', 'ego', 'luka', 'cenderung', 'jadi', 'abusive', 'kasar', 'ujung2nya', 'kdrt', 'yang', 'parah', 'yaa', 'siksa', 'sampai', 'bunuh', 'n', 'nkbnykan', 'laki', 'indonesia', 'sudah', 'fatherless', 'patriark', 'dik', 'laki', 'tidak', 'boleh', 'nang', 'tidak', 'boleh', 'cengeng', 'tidak', 'gagal', 'tidak', 'alami', 'tolak', 'dan', 'lain']",-73,-1
tang kira moga yang belum nikah jodoh yang tidak suka selingkuh tidak kdrt,"['tang', 'kira', 'moga', 'yang', 'belum', 'nikah', 'jodoh', 'yang', 'tidak', 'suka', 'selingkuh', 'tidak', 'kdrt']",-23,-1
suami istri cerai cba pikirin anak2nya cuma karena ego digedein anak2 yang bingung ibu pisah tidak tahu enak kali ya lihat bgtuan,"['suami', 'istri', 'cerai', 'cba', 'pikirin', 'anak2nya', 'cuma', 'karena', 'ego', 'digedein', 'anak2', 'yang', 'bingung', 'ibu', 'pisah', 'tidak', 'tahu', 'enak', 'kali', 'ya', 'lihat', 'bgtuan']",-22,-1
affair kdrt divorce tidak ndalam affair pasang sempat ubah tidak pisah n nsedangkan kdrt divorce bisa selamat korban kdrt anak2,"['affair', 'kdrt', 'divorce', 'tidak', 'ndalam', 'affair', 'pasang', 'sempat', 'ubah', 'tidak', 'pisah', 'n', 'nsedangkan', 'kdrt', 'divorce', 'bisa', 'selamat', 'korban', 'kdrt', 'anak2']",-8,-1
jevilonie seirga kalau mau kdrt jangan bawa nm saya,"['jevilonie', 'seirga', 'kalau', 'mau', 'kdrt', 'jangan', 'bawa', 'nm', 'saya']",-5,-1
ayah nyokap cerai orang tiga kdrt saja anak syukur pisah sudah gede sudah capai ngeliat tidak cocok tidak hidup tenang biar hidup anak tenang,"['ayah', 'nyokap', 'cerai', 'orang', 'tiga', 'kdrt', 'saja', 'anak', 'syukur', 'pisah', 'sudah', 'gede', 'sudah', 'capai', 'ngeliat', 'tidak', 'cocok', 'tidak', 'hidup', 'tenang', 'biar', 'hidup', 'anak', 'tenang']",-9,-1
treasuremenfess preciouskiewoos mam daddy kdrt in ampe gigi hilang begitu,"['treasuremenfess', 'preciouskiewoos', 'mam', 'daddy', 'kdrt', 'in', 'ampe', 'gigi', 'hilang', 'begitu']",-6,-1
affair kdrt what about verbal and psychological abuse then i don t see bruises on my mother but i see her being imprisoned by her asshole husband and that leads to her being abusive towards me nhttps t co vwdduym4qg,"['affair', 'kdrt', 'what', 'about', 'verbal', 'and', 'psychological', 'abuse', 'then', 'i', 'don', 't', 'see', 'bruises', 'on', 'my', 'mother', 'but', 'i', 'see', 'her', 'being', 'imprisoned', 'by', 'her', 'asshole', 'husband', 'and', 'that', 'leads', 'to', 'her', 'being', 'abusive', 'towards', 'me', 'nhttps', 't', 'co', 'vwdduym4qg']",1,1
isi keliling ku tuh belah kawin belah cerai belah kdrt belah selingkuh belah happy marriage belah happy marriage n ngofud enak sekitar margahayu,"['isi', 'keliling', 'ku', 'tuh', 'belah', 'kawin', 'belah', 'cerai', 'belah', 'kdrt', 'belah', 'selingkuh', 'belah', 'happy', 'marriage', 'belah', 'happy', 'marriage', 'n', 'ngofud', 'enak', 'sekitar', 'margahayu']",-31,-1
jiwoongeu takut sekali kdrt,"['jiwoongeu', 'takut', 'sekali', 'kdrt']",-4,-1
todayisaaa kamu dapat kdrt yh,"['todayisaaa', 'kamu', 'dapat', 'kdrt', 'yh']",0,1
ini gweh bicara anak ya n ntemen saya bos ortunya pisah ranjang sekali bicara rumah pakai nada tidak jarang banting barang etc n nlu pikirin tidak bang ndrew enak kali ya liat begitu,"['ini', 'gweh', 'bicara', 'anak', 'ya', 'n', 'ntemen', 'saya', 'bos', 'ortunya', 'pisah', 'ranjang', 'sekali', 'bicara', 'rumah', 'pakai', 'nada', 'tidak', 'jarang', 'banting', 'barang', 'etc', 'n', 'nlu', 'pikirin', 'tidak', 'bang', 'ndrew', 'enak', 'kali', 'ya', 'liat', 'begitu']",-12,-1
jadi ingat malam ruang tv kakak adik cewek sama mama lagi duduk2 mama abis kelahi sama ayah kdrt sampai pernah main pisau cerita keluh kesah sama tiga sampai bilang kenapa mama gacerai saja sama ayah kasihan mama kaya gin,"['jadi', 'ingat', 'malam', 'ruang', 'tv', 'kakak', 'adik', 'cewek', 'sama', 'mama', 'lagi', 'duduk2', 'mama', 'abis', 'kelahi', 'sama', 'ayah', 'kdrt', 'sampai', 'pernah', 'main', 'pisau', 'cerita', 'keluh', 'kesah', 'sama', 'tiga', 'sampai', 'bilang', 'kenapa', 'mama', 'gacerai', 'saja', 'sama', 'ayah', 'kasihan', 'mama', 'kaya', 'gin']",12,1
misae tuk kdrt,"['misae', 'tuk', 'kdrt']",0,1
why are you giving me kdrt lessons ma am remember when you beat me up years ago,"['why', 'are', 'you', 'giving', 'me', 'kdrt', 'lessons', 'ma', 'am', 'remember', 'when', 'you', 'beat', 'me', 'up', 'years', 'ago']",-2,-1
vi xx444 maswaay detikcom temu saja si kakak ih,"['vi', 'xx444', 'maswaay', 'detikcom', 'temu', 'saja', 'si', 'kakak', 'ih']",-1,-1
ni saa wlfdeersh tanyakanrl mnurut sih sah saja cari bela korban selingkuh kdrt dukung orang tidak tahu trauma yang alami keluar unek ketidakadilan yang alami,"['ni', 'saa', 'wlfdeersh', 'tanyakanrl', 'mnurut', 'sih', 'sah', 'saja', 'cari', 'bela', 'korban', 'selingkuh', 'kdrt', 'dukung', 'orang', 'tidak', 'tahu', 'trauma', 'yang', 'alami', 'keluar', 'unek', 'ketidakadilan', 'yang', 'alami']",-36,-1
gosah dengar gaes n nbokap nyokap saya cerai hidup bebas rumah kdrt,"['gosah', 'dengar', 'gaes', 'n', 'nbokap', 'nyokap', 'saya', 'cerai', 'hidup', 'bebas', 'rumah', 'kdrt']",-14,-1
cerai kalang publik figur tambah tetangga rumah pasang suami istri ribut kdrt anak 1thn saya dengernya ampe gemeterr ndan overthinking n nbut there so many people consider marriage as a measure of life whyyy,"['cerai', 'kalang', 'publik', 'figur', 'tambah', 'tetangga', 'rumah', 'pasang', 'suami', 'istri', 'ribut', 'kdrt', 'anak', '1thn', 'saya', 'dengernya', 'ampe', 'gemeterr', 'ndan', 'overthinking', 'n', 'nbut', 'there', 'so', 'many', 'people', 'consider', 'marriage', 'as', 'a', 'measure', 'of', 'life', 'whyyy']",1,1
ndrewstjan ya kalau pasang waras mikir tuh harus tahan apa kecuali selingkuh kdrt kalau tidak waras mending pisah biar yang waras tetap waras,"['ndrewstjan', 'ya', 'kalau', 'pasang', 'waras', 'mikir', 'tuh', 'harus', 'tahan', 'apa', 'kecuali', 'selingkuh', 'kdrt', 'kalau', 'tidak', 'waras', 'mending', 'pisah', 'biar', 'yang', 'waras', 'tetap', 'waras']",-28,-1
mainanmulu tengkar nya selingkuh tidak ada kdrt ya saya wajar kaya si ayah naro anduk sembarang dan lain yang sepele ribut nya saja,"['mainanmulu', 'tengkar', 'nya', 'selingkuh', 'tidak', 'ada', 'kdrt', 'ya', 'saya', 'wajar', 'kaya', 'si', 'ayah', 'naro', 'anduk', 'sembarang', 'dan', 'lain', 'yang', 'sepele', 'ribut', 'nya', 'saja']",-34,-1
zzluyyy sbtmskn fajar jahat anjir kalah kdrt maaf maaf saja,"['zzluyyy', 'sbtmskn', 'fajar', 'jahat', 'anjir', 'kalah', 'kdrt', 'maaf', 'maaf', 'saja']",-15,-1
soundofyogi kalau yang bahas mas ego yang digedein kalau yang kdrt mah bebas bebas saja om,"['soundofyogi', 'kalau', 'yang', 'bahas', 'mas', 'ego', 'yang', 'digedein', 'kalau', 'yang', 'kdrt', 'mah', 'bebas', 'bebas', 'saja', 'om']",-29,-1
tidak anak yang liat orangtuanya cerai liat keluarga beranta ya mau keluarga utuh ayah sama rumah hangat cinta tidak anak yang tega betah liat orangtuanya tengkar terus kdrt,"['tidak', 'anak', 'yang', 'liat', 'orangtuanya', 'cerai', 'liat', 'keluarga', 'beranta', 'ya', 'mau', 'keluarga', 'utuh', 'ayah', 'sama', 'rumah', 'hangat', 'cinta', 'tidak', 'anak', 'yang', 'tega', 'betah', 'liat', 'orangtuanya', 'tengkar', 'terus', 'kdrt']",-18,-1
diselingkuhin nlagi sayang sayang putus ndihajar fisik nhubungan agama beda nsekarang meni suami suka karaoke mabok suka kdrt,"['diselingkuhin', 'nlagi', 'sayang', 'sayang', 'putus', 'ndihajar', 'fisik', 'nhubungan', 'agama', 'beda', 'nsekarang', 'meni', 'suami', 'suka', 'karaoke', 'mabok', 'suka', 'kdrt']",-5,-1
suami istri cerai cba pikirin anak2nya cuma karena ego digedein anak2 yang bingung ibu pisah tidak tahu enak kali ya lihat bgtuan,"['suami', 'istri', 'cerai', 'cba', 'pikirin', 'anak2nya', 'cuma', 'karena', 'ego', 'digedein', 'anak2', 'yang', 'bingung', 'ibu', 'pisah', 'tidak', 'tahu', 'enak', 'kali', 'ya', 'lihat', 'bgtuan']",-22,-1
ohmyv3nus istri angry issues suka kdrt pukulin suami ma anak ampe benjol suami genit sangat anak cowonya lebih2 genit suka pamer titit juga,"['ohmyv3nus', 'istri', 'angry', 'issues', 'suka', 'kdrt', 'pukulin', 'suami', 'ma', 'anak', 'ampe', 'benjol', 'suami', 'genit', 'sangat', 'anak', 'cowonya', 'lebih2', 'genit', 'suka', 'pamer', 'titit', 'juga']",3,1
westchella wgl sudah kdrt saja,"['westchella', 'wgl', 'sudah', 'kdrt', 'saja']",-2,-1
saifulmujani muchlis ar saidiman saiful mujani suami kdrt istri istri survey puassss keren lain kali,"['saifulmujani', 'muchlis', 'ar', 'saidiman', 'saiful', 'mujani', 'suami', 'kdrt', 'istri', 'istri', 'survey', 'puassss', 'keren', 'lain', 'kali']",-4,-1
bagus sih kursus siap nikah susah juga y tidak cere kalau pasang kdrt selingkuh tanggung nlagipula bilang cerai gampang amp uang yang buang yang sia2 anak2 yang mentally trauma dan lain,"['bagus', 'sih', 'kursus', 'siap', 'nikah', 'susah', 'juga', 'y', 'tidak', 'cere', 'kalau', 'pasang', 'kdrt', 'selingkuh', 'tanggung', 'nlagipula', 'bilang', 'cerai', 'gampang', 'amp', 'uang', 'yang', 'buang', 'yang', 'sia2', 'anak2', 'yang', 'mentally', 'trauma', 'dan', 'lain']",-40,-1
glmingyeong tidak kdrt glad to hear that,"['glmingyeong', 'tidak', 'kdrt', 'glad', 'to', 'hear', 'that']",-5,-1
gampang orang2 cerai nsini masuk katolik nikah kursus siap kawin meni umur hidup berat apa kawin cerai,"['gampang', 'orang2', 'cerai', 'nsini', 'masuk', 'katolik', 'nikah', 'kursus', 'siap', 'kawin', 'meni', 'umur', 'hidup', 'berat', 'apa', 'kawin', 'cerai']",-8,-1
gesangnurh basebdg seram sangat kdrt,"['gesangnurh', 'basebdg', 'seram', 'sangat', 'kdrt']",-6,-1
kdrt gimana,"['kdrt', 'gimana']",0,1
tidak sih benar kalau aib sudah nyebabin korban aka ngerugiin orang sudah aib korban hak penuh speak up yang alamin nya kdrt verbal fisik korban hak speak up laku orang tua,"['tidak', 'sih', 'benar', 'kalau', 'aib', 'sudah', 'nyebabin', 'korban', 'aka', 'ngerugiin', 'orang', 'sudah', 'aib', 'korban', 'hak', 'penuh', 'speak', 'up', 'yang', 'alamin', 'nya', 'kdrt', 'verbal', 'fisik', 'korban', 'hak', 'speak', 'up', 'laku', 'orang', 'tua']",-34,-1
angewwie sudah dijelasin ya yang cerai kdrt affair yang saya tangkep affair selingkuh n nsedangkan dari cerita orang tua temenmu kdrt so what sbnernya milik alas cerai,"['angewwie', 'sudah', 'dijelasin', 'ya', 'yang', 'cerai', 'kdrt', 'affair', 'yang', 'saya', 'tangkep', 'affair', 'selingkuh', 'n', 'nsedangkan', 'dari', 'cerita', 'orang', 'tua', 'temenmu', 'kdrt', 'so', 'what', 'sbnernya', 'milik', 'alas', 'cerai']",-33,-1
cicil 32 jarak commute kasukabe tokyo begitu 50km role model nohara salah ambil putus pas akad kpr n n,"['cicil', '32', 'jarak', 'commute', 'kasukabe', 'tokyo', 'begitu', '50km', 'role', 'model', 'nohara', 'salah', 'ambil', 'putus', 'pas', 'akad', 'kpr', 'n', 'n']",-5,-1
oreodicelupin tanyarlfes komunikasi sih kadang sifat yang susah rubah selagi selingkuh kdrt ya terimain saja nama nikah mah ibadah sabar,"['oreodicelupin', 'tanyarlfes', 'komunikasi', 'sih', 'kadang', 'sifat', 'yang', 'susah', 'rubah', 'selagi', 'selingkuh', 'kdrt', 'ya', 'terimain', 'saja', 'nama', 'nikah', 'mah', 'ibadah', 'sabar']",-9,-1
kemarin marahin tetangga mirip gin gara2 tengkar sama suami sampai ingin cerai tapi tahan gara2 kasihan anak2nya kena mental kalau ortunya cerai anak kena mental liat ortunya tengkar sampai kdrt,"['kemarin', 'marahin', 'tetangga', 'mirip', 'gin', 'gara2', 'tengkar', 'sama', 'suami', 'sampai', 'ingin', 'cerai', 'tapi', 'tahan', 'gara2', 'kasihan', 'anak2nya', 'kena', 'mental', 'kalau', 'ortunya', 'cerai', 'anak', 'kena', 'mental', 'liat', 'ortunya', 'tengkar', 'sampai', 'kdrt']",-28,-1
naurar kdrt nama,"['naurar', 'kdrt', 'nama']",0,1
kdrt terus capai asli sih kepala pukul pakai balok kayu ya lempar piring lempar gas wkwk sungguh ironi ya inti deh hmm bangun tidur guyur air ember woy,"['kdrt', 'terus', 'capai', 'asli', 'sih', 'kepala', 'pukul', 'pakai', 'balok', 'kayu', 'ya', 'lempar', 'piring', 'lempar', 'gas', 'wkwk', 'sungguh', 'ironi', 'ya', 'inti', 'deh', 'hmm', 'bangun', 'tidur', 'guyur', 'air', 'ember', 'woy']",-4,-1
target filmya orang tua biar paham sudut pandang anak2 yang ortunya cerai yang tidak enak mana beban tentu ayah ibu n n bahas kecuali kdrt istri anak https t co m27qa6ptuo,"['target', 'filmya', 'orang', 'tua', 'biar', 'paham', 'sudut', 'pandang', 'anak2', 'yang', 'ortunya', 'cerai', 'yang', 'tidak', 'enak', 'mana', 'beban', 'tentu', 'ayah', 'ibu', 'n', 'n', 'bahas', 'kecuali', 'kdrt', 'istri', 'anak', 'https', 't', 'co', 'm27qa6ptuo']",-27,-1
ahleaissleeping nang pukul mba kdrt nih,"['ahleaissleeping', 'nang', 'pukul', 'mba', 'kdrt', 'nih']",-8,-1
marksupilamiee kdrt,"['marksupilamiee', 'kdrt']",0,1
suami istri cerai cba pikirin anak2nya cuma karena ego digedein anak2 yang bingung ibu pisah tidak tahu enak kali ya lihat bgtuan,"['suami', 'istri', 'cerai', 'cba', 'pikirin', 'anak2nya', 'cuma', 'karena', 'ego', 'digedein', 'anak2', 'yang', 'bingung', 'ibu', 'pisah', 'tidak', 'tahu', 'enak', 'kali', 'ya', 'lihat', 'bgtuan']",-22,-1
angewwie ayah nikah tapi tidurin cewek sanasini tidak kasih nafkah kdrt ibu larang cerai orangtua amp mertua tahan anak hasil anak nya sakit jiwa yang trauma bisa cerai 25th nikah nikah ayah anak cerai saja daripada sakit jiwa anak,"['angewwie', 'ayah', 'nikah', 'tapi', 'tidurin', 'cewek', 'sanasini', 'tidak', 'kasih', 'nafkah', 'kdrt', 'ibu', 'larang', 'cerai', 'orangtua', 'amp', 'mertua', 'tahan', 'anak', 'hasil', 'anak', 'nya', 'sakit', 'jiwa', 'yang', 'trauma', 'bisa', 'cerai', '25th', 'nikah', 'nikah', 'ayah', 'anak', 'cerai', 'saja', 'daripada', 'sakit', 'jiwa', 'anak']",-38,-1
supermirket kamu kdrt si,"['supermirket', 'kamu', 'kdrt', 'si']",0,1
21flawss tanyakanrl kalau kdrt terus tidak cerai siap2 terima kdrt yaaa,"['21flawss', 'tanyakanrl', 'kalau', 'kdrt', 'terus', 'tidak', 'cerai', 'siap2', 'terima', 'kdrt', 'yaaa']",-8,-1
angewwie tweet bilang sih luar abuse kdrt n tidak belian belio loh yah sebage kaum chronically online tahu kadang n nhttps t co ksoqpm9izi,"['angewwie', 'tweet', 'bilang', 'sih', 'luar', 'abuse', 'kdrt', 'n', 'tidak', 'belian', 'belio', 'loh', 'yah', 'sebage', 'kaum', 'chronically', 'online', 'tahu', 'kadang', 'n', 'nhttps', 't', 'co', 'ksoqpm9izi']",-2,-1
seringkali jadi yang melakulan selingkuh kdrt tidak tanggung keluarga si suami nbukannya tidak istri yang istri yang korban tanggung anak,"['seringkali', 'jadi', 'yang', 'melakulan', 'selingkuh', 'kdrt', 'tidak', 'tanggung', 'keluarga', 'si', 'suami', 'nbukannya', 'tidak', 'istri', 'yang', 'istri', 'yang', 'korban', 'tanggung', 'anak']",-38,-1
lunerpw sentil mata marah tidak,"['lunerpw', 'sentil', 'mata', 'marah', 'tidak']",-12,-1
,[],0,1
kalau dulu usia 20an banyak yang nikah hepi rasa fomo tapi telah usia 30an yang cerai bar rasa sedih but if someones happy after divorce aplg kalau kdrt gaslight atau smp dera fisik ya untuk anak2,"['kalau', 'dulu', 'usia', '20an', 'banyak', 'yang', 'nikah', 'hepi', 'rasa', 'fomo', 'tapi', 'telah', 'usia', '30an', 'yang', 'cerai', 'bar', 'rasa', 'sedih', 'but', 'if', 'someones', 'happy', 'after', 'divorce', 'aplg', 'kalau', 'kdrt', 'gaslight', 'atau', 'smp', 'dera', 'fisik', 'ya', 'untuk', 'anak2']",-21,-1
